encoding,code,clean_code,description,type,subtype
icd-10-mc,I63.412,I63412,Cerebral infarction due to embolism of left middle cerebral artery,ischaemic,thrombus/embolism
icd-10-mc,I63.413,I63413,Cerebral infarction due to embolism of bilateral middle cerebral arteries,ischaemic,thrombus/embolism
icd-10-mc,I63.419,I63419,Cerebral infarction due to embolism of unspecified middle cerebral artery,ischaemic,thrombus/embolism
icd-10-mc,I63.421,I63421,Cerebral infarction due to embolism of right anterior cerebral artery,ischaemic,thrombus/embolism
icd-10-mc,I63.422,I63422,Cerebral infarction due to embolism of left anterior cerebral artery,ischaemic,thrombus/embolism
icd-10-mc,I63.423,I63423,Cerebral infarction due to embolism of bilateral anterior cerebral arteries,ischaemic,thrombus/embolism
icd-10-mc,I63.429,I63429,Cerebral infarction due to embolism of unspecified anterior cerebral artery,ischaemic,thrombus/embolism
icd-10-mc,I63.431,I63431,Cerebral infarction due to embolism of right posterior cerebral artery,ischaemic,thrombus/embolism
icd-10-mc,I63.432,I63432,Cerebral infarction due to embolism of left posterior cerebral artery,ischaemic,thrombus/embolism
icd-10-mc,I63.433,I63433,Cerebral infarction due to embolism of bilateral posterior cerebral arteries,ischaemic,thrombus/embolism
icd-10-mc,I63.439,I63439,Cerebral infarction due to embolism of unspecified posterior cerebral artery,ischaemic,thrombus/embolism
icd-10-mc,I63.441,I63441,Cerebral infarction due to embolism of right cerebellar artery,ischaemic,thrombus/embolism
icd-10-mc,I63.442,I63442,Cerebral infarction due to embolism of left cerebellar artery,ischaemic,thrombus/embolism
icd-10-mc,I63.443,I63443,Cerebral infarction due to embolism of bilateral cerebellar arteries,ischaemic,thrombus/embolism
icd-10-mc,I63.449,I63449,Cerebral infarction due to embolism of unspecified cerebellar artery,ischaemic,thrombus/embolism
icd-10-mc,I63.49,I6349,Cerebral infarction due to embolism of other cerebral artery,ischaemic,thrombus/embolism
icd-10-mc,I63.5,I635,Cerebral infarction due to unspecified arterial stenosis or occlusion of cerebral arteries,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.50,I6350,Cerebral infarction due to unspecified arterial stenosis or occlusion of unspecified cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.511,I63511,Cerebral infarction due to unspecified arterial stenosis or occlusion of right middle cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.512,I63512,Cerebral infarction due to unspecified arterial stenosis or occlusion of left middle cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.513,I63513,Cerebral infarction due to unspecified arterial stenosis or occlusion of bilateral middle cerebral arteries,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.519,I63519,Cerebral infarction due to unspecified arterial stenosis or occlusion of unspecified middle cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.521,I63521,Cerebral infarction due to unspecified arterial stenosis or occlusion of right anterior cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.522,I63522,Cerebral infarction due to unspecified arterial stenosis or occlusion of left anterior cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.523,I63523,Cerebral infarction due to unspecified arterial stenosis or occlusion of bilateral anterior cerebral arteries,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.529,I63529,Cerebral infarction due to unspecified arterial stenosis or occlusion of unspecified anterior cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.531,I63531,Cerebral infarction due to unspecified arterial stenosis or occlusion of right posterior cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.532,I63532,Cerebral infarction due to unspecified arterial stenosis or occlusion of left posterior cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.533,I63533,Cerebral infarction due to unspecified arterial stenosis or occlusion of bilateral posterior cerebral arteries,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.539,I63539,Cerebral infarction due to unspecified arterial stenosis or occlusion of unspecified posterior cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.541,I63541,Cerebral infarction due to unspecified arterial stenosis or occlusion of right cerebellar artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.542,I63542,Cerebral infarction due to unspecified arterial stenosis or occlusion of left cerebellar artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.543,I63543,Cerebral infarction due to unspecified arterial stenosis or occlusion of bilateral cerebellar arteries,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.549,I63549,Cerebral infarction due to unspecified arterial stenosis or occlusion of unspecified cerebellar artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.59,I6359,Cerebral infarction due to unspecified arterial stenosis or occlusion of other cerebral artery,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.6,I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",ischaemic,thrombus/embolism
icd-10-mc,I63.8,I638,Other cerebral infarction,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.81,I6381,Other cerebral infarction due to small artery arterial stenosis or occlusion,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.89,I6382,Other cerebral infarction,ischaemic,arterial stenosis or occlusion
icd-10-mc,I63.9,I639,"Cerebral infarction, unspecified",ischaemic,arterial stenosis or occlusion
icd-10-mc,G46,G46,Vascular syndromes of brain in cerebrovascular diseases,ischaemic,arterial stenosis or occlusion
icd-10-mc,G46.0,G460,Middle cerebral artery syndrome,ischaemic,arterial stenosis or occlusion
icd-10-mc,G46.1,G461,Anterior cerebral artery syndrome,ischaemic,arterial stenosis or occlusion
