encoding,code,clean_code,description,type,subtype
icd-10-mc,I35.0,I350,Non-Rheumatic Aortic (Valve) Stenosis,DIAG,
icd-10-mc,I35.1,I351,Non-Rheumatic Aortic (Valve) Insufficiency,DIAG,
icd-10-mc,I35.2,I352,Stenosis With Non-Rheumatic Aortic (Valve) Insufficiency,DIAG,
icd-10-mc,I35.8,I358,Other Nonrheumatic Aortic Valve Disorders,DIAG,
icd-10-mc,I35.9,I359,"Nonrheumatic Aortic Valve Disorder, Nonrheumatic, Unspecified",DIAG,
icd-10-mc,I36,I36,Tricuspid Valve Disorders Nonrheumatic,DIAG,
icd-10-mc,I36.0,I360,Non-Rheumatic Tricuspid (Valve) Stenosis,DIAG,
icd-10-mc,I36.1,I361,Non-Rheumatic Tricuspid (Valve) Insufficiency,DIAG,
icd-10-mc,I36.2,I362,Non-Rheumatic Tricuspid Stenosis With Non-Rheumatic Tricuspid Valve (Valve) Insufficiency,DIAG,
icd-10-mc,I36.8,I368,Other Non-Rheumatic Tricuspid Valve Disorders,DIAG,
icd-10-mc,I36.9,I369,"Non-Rheumatic Tricuspid Valve Disorder, Non-Rheumatic, Unspecified",DIAG,
icd-10-mc,I37,I37,Non-Rheumatic Pulmonary Valve Disorders,DIAG,
icd-10-mc,I37.0,I370,Nonrheumatic Pulmonary Valve Stenosis,DIAG,
icd-10-mc,I37.1,I371,Non-Rheumatic Pulmonary Valve Insufficiency,DIAG,
icd-10-mc,I37.2,I372,Non-Rheumatic Pulmonary Valve Stenosis With Non-Rheumatic Pulmonary Valve Insufficiency ,DIAG,
icd-10-mc,I37.8,I378,Other Non-Rheumatic Pulmonary Valve Disorders,DIAG,
icd-10-mc,I37.9,I379,"Non-Rheumatic Pulmonary Valve Disorder, Non-Rheumatic, Not Otherwise Specified",DIAG,
icd-10-mc,I38,I38,"Endocarditis, Valve Not Specified",DIAG,
icd-10-mc,I39,I39,Endocarditis And Heart Valve Disorders In Diseases Elsewhere Classified,DIAG,
icd-10-mc,Q23.0,Q230,Congenital Aortic Valve Stenosis,DIAG,
icd-10-mc,Q23.1,Q231,Congenital Aortic Valve Insufficiency,DIAG,
icd-10-mc,Q23.2,Q232,Congenital Mitral Stenosis,DIAG,
icd-10-mc,Q23.3,Q233,Congenital Mitral Insufficiency,DIAG,
icd-10-mc,Z95.2,Z952,Presence Of Prosthetic Heart Valve,DIAG,
icd-10-mc,Z95.3,Z953,Presence Of Xenogenic Heart Valve,DIAG,
icd-10-mc,Z95.4,Z954,Presence Of Other Heart Valve Replacement,DIAG,
icp-2,K83�,K83�,Valvular Heart Disease,DIAG,
