municipio_cd,municipio_st,provincia_cd
37014,Aldeadávila de la Ribera,37
42009,Aldealafuente,42
40006,Aldealcorvo,40
37016,Aldealengua,37
40007,Aldealengua de Pedraza,40
40008,Aldealengua de Santa María,40
42010,Aldealices,42
42011,Aldealpozo,42
42012,Aldealseñor,42
47007,Aldeamayor de San Martín,47
45009,Aldeanueva de Barbarroya,45
26008,Aldeanueva de Ebro,26
37017,Aldeanueva de Figueroa,37
19015,Aldeanueva de Guadalajara,19
40009,Aldeanueva de la Serrezuela,40
37018,Aldeanueva de la Sierra,37
10014,Aldeanueva de la Vera,10
45010,Aldeanueva de San Bartolomé,45
05007,Aldeanueva de Santa Cruz,05
10015,Aldeanueva del Camino,10
40010,Aldeanueva del Codonal,40
23004,Aldeaquemada,23
37019,Aldearrodrigo,37
37020,Aldearrubia,37
05008,Aldeaseca,05
37021,Aldeaseca de Alba,37
37022,Aldeaseca de la Frontera,37
40013,Aldeasoña,40
37023,Aldeatejada,37
37024,Aldeavieja de Tormes,37
40014,Aldehorno,40
10016,Aldehuela de Jerte,10
37025,Aldehuela de la Bóveda,37
50016,Aldehuela de Liestos,50
42013,Aldehuela de Periáñez,42
37026,Aldehuela de Yeltes,37
40015,Aldehuela del Codonal,40
05010,"Aldehuela, La",05
42014,"Aldehuelas, Las",42
18010,Aldeire,18
40016,Aldeonte,40
43006,Aldover,43
30006,Aledo,30
20005,Alegia,20
01001,Alegría-Dulantzi,01
43007,"Aleixar, L'",43
08003,Alella,08
42015,Alentisque,42
22019,Alerre,22
26009,Alesanco,26
26010,Alesón,26
18011,Alfacar,18
46022,Alfafar,46
03010,Alfafara,03
50017,Alfajarín,50
44016,Alfambra,44
50018,Alfamén,50
22020,Alfántega,22
43008,Alfara de Carles,43
46024,Alfara de la Baronia,46
46025,Alfara del Patriarca,46
49005,Alfaraz de Sayago,49
29003,Alfarnate,29
29004,Alfarnatejo,29
26011,Alfaro,26
46026,Alfarp,46
25013,Alfarràs,25
46027,Alfarrasí,46
03011,"Alfàs del Pi, l'",03
46023,Alfauir,46
25014,Alfés,25
12007,Alfondeguilla,12
43009,Alforja,43
50019,Alforque,50
27002,Alfoz,27
09011,Alfoz de Bricia,09
39001,Alfoz de Lloredo,39
09907,Alfoz de Quintanadueñas,09
09012,Alfoz de Santa Gadea,09
41007,"Algaba, La",41
24002,Algadefe,24
07004,Algaida,07
41008,Algámitas,41
11003,Algar,11
19016,Algar de Mesa,19
46028,Algar de Palancia,46
18012,Algarinejo,18
16013,Algarra,16
29005,Algarrobo,29
29006,Algatocín,29
11004,Algeciras,11
46029,Algemesí,46
25015,Algerri,25
28009,Algete,28
46030,Algímia d'Alfara,46
12008,Algimia de Almonacid,12
46031,Alginet,46
11005,Algodonales,11
49006,Algodre,49
19017,Algora,19
03012,Algorfa,03
25016,Alguaire,25
30007,Alguazas,30
03013,Algueña,03
04010,Alhabia,04
04011,Alhama de Almería,04
50020,Alhama de Aragón,50
18013,Alhama de Granada,18
30008,Alhama de Murcia,30
13010,Alhambra,13
29007,Alhaurín de la Torre,29
29008,Alhaurín el Grande,29
18014,Alhendín,18
19018,Alhóndiga,19
10017,Alía,10
44017,Aliaga,44
16014,Aliaguilla,16
03014,Alicante/Alacant,03
04012,Alicún,04
18015,Alicún de Ortega,18
24003,Alija del Infantado,24
25017,Alins,25
43010,Alió,43
19019,Alique,19
10018,Aliseda,10
42016,Aliud,42
21002,Aljaraque,21
06009,Aljucén,06
20006,Alkiza,20
33001,Allande,33
32001,Allariz,32
44021,Allepuz,44
33002,Aller,33
31011,Allín/Allin,31
31012,Allo,31
44022,Alloza,44
44023,Allueva,44
25019,Almacelles,25
29009,Almáchar,29
13011,Almadén,13
41009,Almadén de la Plata,41
13012,Almadenejos,13
19020,Almadrones,19
13013,Almagro,13
42017,Almajano,42
42018,Almaluez,42
02009,Almansa,02
24004,Almanza,24
10019,Almaraz,10
49007,Almaraz de Duero,49
16015,"Almarcha, La",16
29010,Almargen,29
42019,Almarza,42
26012,Almarza de Cameros,26
46032,Almàssera,46
12009,Almassora,12
25020,Almatret,25
42020,Almazán,42
42021,Almazul,42
12010,Almedíjar,12
13014,Almedina,13
14004,Almedinilla,14
18016,Almegíjar,18
49008,Almeida de Sayago,49
25021,Almenar,25
42022,Almenar de Soria,42
12011,Almenara,12
47008,Almenara de Adaja,47
37027,Almenara de Tormes,37
37028,Almendra,37
06010,Almendral,06
45011,Almendral de la Cañada,45
06011,Almendralejo,06
21003,"Almendro, El",21
16016,Almendros,16
41010,Almensilla,41
04013,Almería,04
46033,Almiserà,46
50021,Almochuel,50
04014,Almócita,04
13015,Almodóvar del Campo,13
16017,Almodóvar del Pinar,16
14005,Almodóvar del Río,14
29011,Almogía,29
19021,Almoguera,19
44018,Almohaja,44
10020,Almoharín,10
46034,Almoines,46
50022,"Almolda, La",50
50023,Almonacid de la Cuba,50
50024,Almonacid de la Sierra,50
45012,Almonacid de Toledo,45
19022,Almonacid de Zorita,19
16018,Almonacid del Marquesado,16
21004,Almonaster la Real,21
21005,Almonte,21
03015,Almoradí,03
45013,Almorox,45
43011,Almoster,43
03016,Almudaina,03
22021,Almudévar,22
50025,"Almunia de Doña Godina, La",50
22022,Almunia de San Juan,22
22023,Almuniente,22
18017,Almuñécar,18
13016,Almuradiel,13
46035,Almussafes,46
44019,Alobras,44
19023,Alocén,19
48912,Alonsotegi,48
29012,Álora,29
25022,Alòs de Balaguer,25
21006,Alosno,21
19024,Alovera,19
29013,Alozaina,29
17006,Alp,17
29014,Alpandeire,29
42023,Alpanseque,42
50026,Alpartir,50
28010,Alpedrete,28
08004,Alpens,08
44020,Alpeñés,44
02010,Alpera,02
25023,Alpicat,25
46036,Alpuente,46
18904,Alpujarra de la Sierra,18
03017,"Alqueria d'Asnar, l'",03
46037,"Alqueria de la Comtessa, l'",46
12901,"Alqueries, les/Alquerías del Niño Perdido",12
22024,Alquézar,22
18018,Alquife,18
04015,Alsodux,04
25024,Alt Àneu,25
09013,Altable,09
43012,Altafulla,43
16019,Altarejos,16
03018,Altea,03
22025,Altorricón,22
09014,"Altos, Los",09
31010,Altsasu/Alsasua,31
12012,Altura,12
20906,Altzaga,20
20007,Altzo,20
19027,Alustante,19
46017,Alzira,46
05012,Amavida,05
34009,Amayuelas de Arriba,34
50027,Ambel,50
28011,Ambite,28
17007,Amer,17
15002,Ames,15
31013,Améscoa Baja,31
43013,"Ametlla de Mar, L'",43
08005,"Ametlla del Vallès, L'",08
09016,Ameyugo,09
20008,Amezketa,20
33003,Amieva,33
32002,Amoeiro,32
48003,Amorebieta-Etxano,48
48004,Amoroto,48
43906,"Ampolla, L'",43
43014,Amposta,43
34010,Ampudia,34
39002,Ampuero,39
01002,Amurrio,01
34011,Amusco,34
47009,Amusquillo,47
44024,Anadón,44
40017,Anaya,40
37029,Anaya de Alba,37
28012,Anchuelo,28
13017,Anchuras,13
31014,Ancín/Antzin,31
49009,Andavías,49
46038,Andilla,46
20009,Andoain,20
44025,Andorra,44
31015,Andosilla,31
07005,Andratx,07
23005,Andújar,23
50028,Anento,50
17008,Anglès,17
25027,Anglesola,25
19031,Angón,19
26013,Anguciana,26
22027,Angüés,22
26014,Anguiano,26
19032,Anguita,19
09017,Anguix,09
39003,Anievas,39
50029,Aniñón,50
46039,Anna,46
20010,Anoeta,20
19033,Anquela del Ducado,19
19034,Anquela del Pedregal,19
22028,Ansó,22
31016,Ansoáin/Antsoain,31
04016,Antas,04
27003,Antas de Ulla,27
46040,Antella,46
29015,Antequera,29
35003,Antigua,35
24005,"Antigua, La",24
34012,Antigüedad,34
22029,Antillón,22
20011,Antzuola,20
31017,Anue,31
01049,Añana,01
40018,Añe,40
50030,Añón de Moncayo,50
14006,Añora,14
31018,Añorbe,31
45014,Añover de Tajo,45
37030,Añover de Tormes,37
31019,Aoiz/Agoitz,31
37031,Arabayona de Mógica,37
21007,Aracena,21
38004,Arafo,38
22032,Aragüés del Puerto,22
41011,Arahal,41
40019,Arahuetes,40
31020,Araitz,31
48005,Arakaldo,48
31025,Arakil,31
20012,Arama,20
01003,Aramaio,01
31021,Aranarache/Aranaratxe,31
42024,Arancón,42
09018,Aranda de Duero,09
50031,Aranda de Moncayo,50
50032,Arándiga,50
09019,Arandilla,09
16020,Arandilla del Arroyo,16
15003,Aranga,15
31023,Aranguren,31
28013,Aranjuez,28
31024,Arano,31
31022,Arantza,31
48006,Arantzazu,48
19036,Aranzueque,19
12013,Arañuel,12
37032,Arapiles,37
31026,Aras,31
46041,Aras de los Olmos,46
09020,Arauzo de Miel,09
09021,Arauzo de Salce,09
09022,Arauzo de Torre,09
19037,Arbancón,19
25029,Arbeca,25
19038,Arbeteta,19
31027,Arbizu,31
36001,Arbo,36
43016,"Arboç, L'",43
04017,Arboleas,04
43015,Arbolí,43
17009,Arbúcies,17
16905,Arcas,16
31028,Arce/Artzi,31
37033,Arcediano,37
49010,Arcenillas,49
30009,Archena,30
29016,Árchez,29
29017,Archidona,29
45015,Arcicóllar,45
37034,"Arco, El",37
34015,Arconada,34
40020,Arcones,40
09023,Arcos,09
42025,Arcos de Jalón,42
11006,Arcos de la Frontera,11
49011,Arcos de la Polvorosa,49
16022,Arcos de la Sierra,16
44026,Arcos de las Salinas,44
31029,"Arcos, Los",31
29018,Ardales,29
50033,Ardisa,50
24006,Ardón,24
48093,Areatza,48
31030,Arellano,31
22035,Arén,22
05013,"Arenal, El",05
13903,Arenales de San Gregorio,13
29019,Arenas,29
39004,Arenas de Iguña,39
13018,Arenas de San Juan,13
05014,Arenas de San Pedro,05
18020,Arenas del Rey,18
42026,Arenillas,42
09024,Arenillas de Riopisuerga,09
44027,Arens de Lledó,44
08006,Arenys de Mar,08
08007,Arenys de Munt,08
26015,Arenzana de Abajo,26
26016,Arenzana de Arriba,26
15004,Ares,15
12014,Ares del Maestrat,12
31031,Areso,31
20013,Aretxabaleta,20
05015,Arevalillo,05
40021,Arevalillo de Cega,40
05016,Arévalo,05
42027,Arévalo de la Sierra,42
13019,Argamasilla de Alba,13
13020,Argamasilla de Calatrava,13
28014,Arganda del Rey,28
24007,Arganza,24
49012,Argañín,49
22036,Argavieso,22
19039,Argecilla,19
17010,Argelaguer,17
12015,Argelita,12
08008,Argençola,08
44028,Argente,44
43017,"Argentera, L'",43
08009,Argentona,08
45016,Argés,45
39005,Argoños,39
31032,Arguedas,31
22037,Arguis,22
16024,Arguisuelas,16
49013,Argujillo,49
31033,Aria,31
07901,Ariany,07
31034,Aribe,31
38005,Arico,38
09025,Arija,09
44029,Ariño,44
50034,Ariza,50
23006,Arjona,23
23007,Arjonilla,23
09026,Arlanzón,09
19040,Armallones,19
31035,Armañanzas,31
17011,"Armentera, L'",17
37035,Armenteros,37
18021,Armilla,18
01006,Armiñón,01
40022,Armuña,40
04018,Armuña de Almanzora,04
19041,Armuña de Tajuña,19
26017,Arnedillo,26
26018,Arnedo,26
43018,Arnes,43
32003,"Arnoia, A",32
39006,Arnuero,39
21008,Aroche,21
38006,Arona,38
49014,Arquillinos,49
23008,Arquillos,23
49015,Arrabalde,49
01037,Arraia-Maeztu,01
16025,Arrancacepas,16
48009,Arrankudiaga,48
20055,Arrasate/Mondragón,20
48914,Arratzu,48
01008,Arratzua-Ubarrundia,01
09027,Arraya de Oca,09
35004,Arrecife,35
39007,Arredondo,39
25031,Arres,25
29020,Arriate,29
48010,Arrieta,48
48011,Arrigorriaga,48
13021,Arroba de los Montes,13
31036,Arróniz,31
47010,Arroyo de la Encomienda,47
10021,Arroyo de la Luz,10
19042,Arroyo de las Fraguas,19
06012,Arroyo de San Serván,06
23905,Arroyo del Ojanco,23
28015,Arroyomolinos,28
10023,Arroyomolinos,10
10022,Arroyomolinos de la Vera,10
21009,Arroyomolinos de León,21
31037,Arruazu,31
26019,Arrúbal,26
25032,Arsèguel,25
07006,Artà,07
31038,Artajona,31
12016,Artana,12
31039,Artazu,31
48023,Artea,48
15005,Arteixo,15
35005,Artenara,35
08010,Artés,08
25033,Artesa de Lleida,25
25034,Artesa de Segre,25
50035,Artieda,50
48008,Artzentales,48
01004,Artziniega,01
35006,Arucas,35
15006,Arzúa,15
43019,Ascó,43
50036,Asín,50
25036,Aspa,25
49016,Aspariegos,49
01009,Asparrena,01
03019,Aspe,03
20014,Asteasu,20
20903,Astigarraga,20
39008,"Astillero, El",39
24008,Astorga,24
34017,Astudillo,34
49017,Asturianos,49
29021,Atajate,29
06013,Atalaya,06
16026,Atalaya del Cañavate,16
37037,"Atalaya, La",37
19043,Atanzón,19
09029,Atapuerca,09
47011,Ataquines,47
18022,Atarfe,18
20015,Ataun,20
28016,"Atazar, El",28
50037,Atea,50
50038,Ateca,50
31040,Atez/Atetz,31
19044,Atienza,19
48091,Atxondo,48
46003,Atzeneta d'Albaida,46
12001,Atzeneta del Maestrat,12
03001,"Atzúbia, l'",03
48070,Aulesti,48
19045,Auñón,19
31058,Auritz/Burguete,31
26020,Ausejo,26
42028,Ausejo de la Sierra,42
09030,"Ausines, Los",09
34018,Autilla del Pino,34
34019,Autillo de Campos,34
26021,Autol,26
05017,Aveinte,05
05018,Avellaneda,05
25037,"Avellanes i Santa Linya, Les",25
09032,Avellanosa de Muñó,09
08011,Avià,08
05019,Ávila,05
33004,Avilés,33
08012,Avinyó,08
17012,Avinyonet de Puigventós,17
08013,Avinyonet del Penedès,08
32004,Avión,32
01010,Ayala/Aiara,01
21010,Ayamonte,21
31041,Ayegui/Aiegi,31
22039,Ayerbe,22
40024,Ayllón,40
02011,Ayna,02
12017,Ayódar,12
49018,Ayoó de Vidriales,49
46044,Ayora,46
34020,Ayuela,34
31042,Azagra,31
44031,Azaila,44
22040,Azanuy-Alins,22
22041,Azara,22
20017,Azkoitia,20
22042,Azlor,22
41012,Aznalcázar,41
41013,Aznalcóllar,41
26022,Azofra,26
20018,Azpeitia,20
06014,Azuaga,06
50039,Azuara,50
12018,Azuébar,12
31043,Azuelo,31
19046,Azuqueca de Henares,19
45017,Azután,45
37038,Babilafuente,37
04019,Bacares,04
06015,Badajoz,06
08015,Badalona,08
26023,Badarán,26
44032,Bádenas,44
08904,Badia del Vallès,08
41014,Badolatosa,41
50040,Badules,50
22043,Baélls,22
14007,Baena,14
23009,Baeza,23
08016,Bagà,08
44033,Báguena,44
50041,Bagüés,50
47012,Bahabón,47
09033,Bahabón de Esgueva,09
19047,Baides,19
23010,Bailén,23
22044,Bailo,22
36003,Baiona,36
25039,Baix Pallars,25
31044,Bakaiku,31
48012,Bakio,48
25040,Balaguer,25
04904,Balanegra,04
02012,Balazote,02
09034,"Balbases, Los",09
24009,Balboa,24
50042,Balconchán,50
22045,Baldellou,22
27004,Baleira,27
08017,Balenyà,08
20904,Baliarrain,20
02014,"Ballestero, El",02
13022,Ballesteros de Calatrava,13
22046,Ballobar,22
48090,Balmaseda,48
03020,Balones,03
02013,Balsa de Ves,02
08018,Balsareny,08
34022,Baltanás,34
32005,Baltar,32
22047,Banastás,22
32006,Bande,32
07007,Banyalbufar,07
03021,Banyeres de Mariola,03
43020,Banyeres del Penedès,43
17015,Banyoles,17
15007,"Baña, A",15
26024,Bañares,26
24010,"Bañeza, La",24
37039,Bañobárez,37
44034,Bañón,44
01011,Baños de Ebro/Mañueta,01
23011,Baños de la Encina,23
32007,Baños de Molgas,32
10024,Baños de Montemayor,10
26026,Baños de Río Tobía,26
26025,Baños de Rioja,26
19048,Baños de Tajo,19
09035,Baños de Valdearados,09
19049,Bañuelos,19
09036,Bañuelos de Bureba,09
34024,Baquerín de Campos,34
16027,Barajas de Melo,16
48013,Barakaldo,48
27901,Baralla,27
31901,Barañáin/Barañain,31
42029,Baraona,42
31045,Barásoain,31
32008,Barbadás,32
37040,Barbadillo,37
09037,Barbadillo de Herreros,09
09038,Barbadillo del Mercado,09
09039,Barbadillo del Pez,09
37041,Barbalos,37
31046,Barbarin,31
22048,Barbastro,22
11007,Barbate,11
25041,Barbens,25
43021,Barberà de la Conca,43
08252,Barberà del Vallès,08
50043,Bárboles,50
40025,Barbolla,40
22049,Barbués,22
22050,Barbuñales,22
42030,Barca,42
22051,Bárcabo,22
06016,Barcarrota,06
08019,Barcelona,08
34025,Bárcena de Campos,34
39009,Bárcena de Cicero,39
39010,Bárcena de Pie de Concha,39
37042,Barceo,37
16029,Barchín del Hoyo,16
47013,Barcial de la Loma,47
49019,Barcial del Barco,49
45018,Barcience,45
05021,"Barco de Ávila, El",05
32009,"Barco de Valdeorras, O",32
42031,Barcones,42
50044,Bardallur,50
39011,Bareyo,39
45019,Bargas,45
31047,Bargota,31
31048,Barillas,31
24011,Barjas,24
38007,Barlovento,38
25042,"Baronia de Rialb, La",25
12020,Barracas,12
44035,Barrachina,44
05022,"Barraco, El",05
10025,Barrado,10
02015,Barrax,02
27005,Barreiros,27
48014,Barrika,48
09041,Barrio de Muñó,09
19050,Barriopedro,19
09043,"Barrios de Bureba, Los",09
09044,Barrios de Colina,09
24012,"Barrios de Luna, Los",24
11008,"Barrios, Los",11
36002,Barro,36
05023,Barromán,05
37044,Barruecopardo,37
34027,Barruelo de Santullán,34
47014,Barruelo del Valle,47
01013,Barrundia,01
46046,Barx,46
46045,Barxeta,46
31049,Basaburua,31
40026,Basardilla,40
48015,Basauri,48
17016,Bàscara,17
09045,Basconcillos del Tozo,09
34028,Báscones de Ojeda,34
09046,Bascuñana,09
16030,Bascuñana de San Pedro,16
25044,Bassella,25
37045,"Bastida, La",37
43022,Batea,43
06017,Baterno,06
28017,Batres,28
25045,Bausen,25
04020,Bayárcal,04
04021,Bayarque,04
42032,Bayubas de Abajo,42
42033,Bayubas de Arriba,42
18023,Baza,18
31050,Baztan,31
44036,Bea,44
32010,Beade,32
16031,Beamud,16
32011,Beariz,32
21011,Beas,21
18024,Beas de Granada,18
18025,Beas de Guadix,18
23012,Beas de Segura,23
20019,Beasain,20
05024,Becedas,05
05025,Becedillas,05
44037,Beceite,44
27006,Becerreá,27
34029,Becerril de Campos,34
28018,Becerril de la Sierra,28
47015,Becilla de Valderaduey,47
04022,Bédar,04
48092,Bedia,48
23902,Bedmar y Garcíez,23
23014,Begíjar,23
27007,Begonte,27
08020,Begues,08
17013,Begur,17
31137,Beintza-Labaien,31
31051,Beire,31
04023,Beires,04
20020,Beizama,20
37046,Béjar,37
12022,Bejís,12
14008,Belalcázar,14
31052,Belascoáin,31
20021,Belauntza,20
09047,Belbimbre,09
50045,Belchite,50
37047,Beleña,37
46047,Bèlgida,46
25046,Belianes,25
16032,Belinchón,16
25170,Bellaguarda,25
17018,Bellcaire d'Empordà,17
25047,Bellcaire d'Urgell,25
25048,Bell-lloc d'Urgell,25
43023,Bellmunt del Priorat,43
25049,Bellmunt d'Urgell,25
44039,Bello,44
08021,Bellprat,08
25050,Bellpuig,25
46048,Bellreguard,46
46049,Bellús,46
43024,Bellvei,43
25051,Bellver de Cerdanya,25
25052,Bellvís,25
14009,Belmez,14
23015,Bélmez de la Moraleda,23
16033,Belmonte,16
34031,Belmonte de Campos,34
50046,Belmonte de Gracián,50
33005,Belmonte de Miranda,33
44038,Belmonte de San José,44
28019,Belmonte de Tajo,28
16034,Belmontejo,16
09048,Belorado,09
22052,Belver de Cinca,22
49020,Belver de los Montes,49
45020,Belvís de la Jara,45
10026,Belvís de Monroy,10
24014,Bembibre,24
22053,Benabarre,22
41015,Benacazón,41
29022,Benadalid,29
47016,Benafarces,47
12024,Benafer,12
12025,Benafigos,12
46050,Benagéber,46
46051,Benaguasil,46
04024,Benahadux,04
29023,Benahavís,29
29024,Benalauría,29
29025,Benalmádena,29
18027,Benalúa,18
18028,Benalúa de las Villas,18
11901,Benalup-Casas Viejas,11
29026,Benamargosa,29
18029,Benamaurel,18
14010,Benamejí,14
29027,Benamocarra,29
11009,Benaocaz,11
29028,Benaoján,29
29029,Benarrabá,29
03022,Benasau,03
22054,Benasque,22
